iter	Passed	Remaining
0	11	3513
1	22	3329
2	32	3187
3	45	3344
4	54	3244
5	65	3219
6	75	3174
7	86	3141
8	88	2877
9	94	2750
10	105	2758
11	114	2753
12	124	2753
13	135	2759
14	146	2791
15	156	2779
16	166	2774
17	176	2763
18	186	2758
19	197	2761
20	207	2753
21	213	2692
22	222	2682
23	232	2676
24	242	2667
25	252	2656
26	262	2649
27	272	2647
28	276	2581
29	286	2576
30	296	2569
31	305	2562
32	315	2552
33	325	2545
34	335	2538
35	344	2528
36	354	2519
37	364	2510
38	385	2582
39	399	2595
40	409	2585
41	419	2575
42	429	2567
43	439	2559
44	449	2546
45	459	2536
46	469	2525
47	479	2515
48	492	2523
49	502	2511
50	512	2500
51	521	2487
52	532	2479
53	543	2478
54	555	2472
55	565	2462
56	576	2455
57	586	2448
58	597	2441
59	607	2429
60	617	2418
61	628	2411
62	637	2399
63	647	2387
64	657	2378
65	668	2369
66	677	2357
67	688	2347
68	697	2335
69	707	2325
70	717	2313
71	728	2306
72	738	2296
73	748	2286
74	758	2275
75	768	2266
76	778	2255
77	790	2249
78	802	2244
79	815	2241
80	825	2231
81	836	2223
82	847	2214
83	856	2203
84	866	2192
85	877	2182
86	888	2174
87	897	2163
88	908	2154
89	919	2145
90	930	2136
91	940	2127
92	952	2120
93	962	2109
94	972	2098
95	982	2088
96	992	2077
97	1003	2068
98	1014	2059
99	1025	2050
100	1035	2040
101	1049	2037
102	1060	2027
103	1070	2017
104	1077	2000
105	1086	1989
106	1096	1978
107	1107	1968
108	1117	1958
109	1127	1947
110	1137	1937
111	1147	1926
112	1157	1914
113	1166	1903
114	1176	1892
115	1186	1881
116	1196	1870
117	1205	1859
118	1216	1849
119	1225	1838
120	1236	1828
121	1246	1818
122	1256	1808
123	1266	1797
124	1276	1787
125	1286	1777
126	1296	1766
127	1306	1755
128	1316	1745
129	1326	1735
130	1336	1724
131	1346	1713
132	1356	1702
133	1365	1691
134	1376	1681
135	1386	1671
136	1395	1660
137	1405	1650
138	1415	1639
139	1425	1629
140	1435	1619
141	1446	1609
142	1457	1599
143	1466	1589
144	1476	1578
145	1486	1567
146	1496	1557
147	1506	1547
148	1516	1537
149	1526	1526
150	1536	1516
151	1546	1505
152	1556	1495
153	1566	1485
154	1580	1478
155	1590	1468
156	1600	1457
157	1610	1447
158	1619	1436
159	1629	1425
160	1638	1414
161	1649	1405
162	1659	1395
163	1669	1384
164	1679	1374
165	1689	1363
166	1698	1352
167	1708	1342
168	1717	1331
169	1726	1320
170	1737	1310
171	1746	1300
172	1756	1289
173	1765	1278
174	1775	1268
175	1784	1257
176	1794	1246
177	1803	1236
178	1813	1226
179	1823	1215
180	1833	1205
181	1842	1194
182	1852	1184
183	1862	1173
184	1871	1163
185	1881	1153
186	1890	1142
187	1900	1132
188	1909	1121
189	1919	1111
190	1929	1101
191	1939	1090
192	1948	1080
193	1957	1069
194	1967	1059
195	1977	1049
196	1986	1038
197	1995	1028
198	2005	1017
199	2016	1008
200	2026	998
201	2036	988
202	2046	977
203	2055	967
204	2065	957
205	2075	947
206	2084	936
207	2094	926
208	2104	916
209	2115	906
210	2131	898
211	2140	888
212	2150	878
213	2159	867
214	2169	857
215	2178	847
216	2188	837
217	2198	826
218	2207	816
219	2217	806
220	2226	795
221	2235	785
222	2246	775
223	2255	765
224	2264	754
225	2274	744
226	2284	734
227	2296	725
228	2307	715
229	2319	706
230	2331	696
231	2342	686
232	2353	676
233	2365	667
234	2376	657
235	2388	647
236	2399	637
237	2410	627
238	2422	618
239	2433	608
240	2444	598
241	2455	588
242	2466	578
243	2476	568
244	2488	558
245	2498	548
246	2508	538
247	2519	528
248	2530	518
249	2541	508
250	2552	498
251	2562	488
252	2571	477
253	2581	467
254	2592	457
255	2601	447
256	2611	436
257	2621	426
258	2631	416
259	2642	406
260	2653	396
261	2664	386
262	2674	376
263	2684	366
264	2694	355
265	2704	345
266	2713	335
267	2723	325
268	2734	315
269	2743	304
270	2753	294
271	2764	284
272	2774	274
273	2785	264
274	2795	254
275	2806	244
276	2816	233
277	2825	223
278	2835	213
279	2845	203
280	2854	193
281	2866	182
282	2875	172
283	2885	162
284	2896	152
285	2906	142
286	2916	132
287	2927	121
288	2937	111
289	2947	101
290	2958	91
291	2968	81
292	2978	71
293	2988	60
294	2998	50
295	3008	40
296	3018	30
297	3029	20
298	3039	10
299	3049	0
